epoch,train_loss,val_loss,roc_auc,pr_auc,accuracy,f1
1,0.1640454479793334,0.48357643710187403,0.9337037320559463,0.9478274335612678,0.861114501953125,0.8428901853833674
2,0.12013523004407034,0.4758192831177439,0.9485006068372596,0.9558380698114806,0.852447509765625,0.8306420540123998
3,0.10262389706372232,0.296671607211465,0.9562696503872847,0.9625333408258882,0.8955078125,0.8896480598169396
4,0.09140527123463471,0.3968980462268519,0.9498213556029089,0.957279109243023,0.8785400390625,0.8656857451403889
5,0.08269010613901173,0.3775283998947998,0.951922782445796,0.9597125871007546,0.89361572265625,0.8857199055861527
6,0.07509203071117554,0.3279358566542214,0.9606462983243804,0.9646049179020177,0.9012451171875,0.89505772473732
7,0.06885399767588751,0.43985301327120396,0.958825026585277,0.9642802348581857,0.871307373046875,0.8552897978792766
8,0.06344492088885545,0.483692180457183,0.9450283558345587,0.9555186475537824,0.8779296875,0.865383320993471
9,0.05780200341564523,0.40686915382502775,0.9567222437355849,0.9625980001543587,0.89398193359375,0.8858063243705214
10,0.053339186154460094,0.5371749274054309,0.9444781281336353,0.9543875133501396,0.87939453125,0.8668643040021561
